Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;2;18;151;1;6;3;5;25.03.2016;25.03.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;;;;;26.03.2016;27.03.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;28.02.2016;28.02.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;16.03.2016;02.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;2;10;5;21;23.12.2015;30.12.2015;620;bez vztahu;0;nic;0;nic;0;353;2c;;;;;;07.01.2016;12.01.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;2;6;5;8;11.12.2015;02.01.1900;620;bez vztahu;0;nic;0;nic;0;353;1;2c;;;;;06.01.2016;19.02.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;2;6;0;0;20.11.2015;30.05.2016;628;bývalý/á přítel/přítelkyně;0;nic;0;nic;0;353;1;2b;;;;;09.06.2016;07.07.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;2;6;5;8;24.05.2016;25.05.2016;612;druh,muž ve spol.domácnosti;0;nic;0;nic;0;353;1;2c;;;;;25.05.2016;29.06.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;1;6;0;0;25.08.2016;02.01.1900;614;dospělá osoba s jiným vztahem /ne 617,618,619/;0;nic;0;nic;0;353;1;2b;358;1;;;26.08.2016;01.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;173;2;6;0;0;26.09.2016;06.10.2016;626;bývalá manželka/bývalá registrovaná partnerka;0;nic;0;nic;0;353;1;;;;;;28.11.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;174;2;6;0;0;15.01.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;0;354;1c;;;;;;05.04.2016;23.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;174;2;6;0;0;16.04.2016;09.12.2016;626;bývalá manželka/bývalá registrovaná partnerka;0;nic;0;nic;0;354;1a;1b;;;;;09.12.2016;02.01.1900;0;nic
